# Time is in days from January 1, 2009
# X and Y are in Finnish UTM km. 
"Time","X","Y","Z"
83.5,3580053.46,7108123.22,3580053.46+7108123.22i
83.6666666666667,3579915,7107927.94,3579915+7107927.94i
83.8333333333333,3579918.62,7107901.74,3579918.62+7107901.74i
84,3579925.66,7107923.05,3579925.66+7107923.05i
84.1666666666667,3579904.19,7107900.84,3579904.19+7107900.84i
84.3333333333333,3579896.59,7107920.36,3579896.59+7107920.36i
84.5,3578915.96,7108352.64,3578915.96+7108352.64i
84.6666666666667,3578784.56,7107572.03,3578784.56+7107572.03i
84.8333333333333,3578806.61,7107526.93,3578806.61+7107526.93i
85,3578805.26,7107523.65,3578805.26+7107523.65i
85.1666666666667,3578794.76,7107496.82,3578794.76+7107496.82i
85.3333333333333,3578866.98,7107485.61,3578866.98+7107485.61i
85.5,3578989.85,7107548.57,3578989.85+7107548.57i
85.6666666666667,3579884.68,7106878.86,3579884.68+7106878.86i
85.8333333333333,3581212.12,7105835.12,3581212.12+7105835.12i
86,3581212.36,7105831.81,3581212.36+7105831.81i
87.3333333333333,3581749.45,7104886.54,3581749.45+7104886.54i
87.5,3581252.31,7104722.12,3581252.31+7104722.12i
87.6666666666667,3580617.76,7105069.11,3580617.76+7105069.11i
87.8333333333333,3580930.29,7105449.69,3580930.29+7105449.69i
88,3580932.81,7105441.29,3580932.81+7105441.29i
88.1666666666667,3580946.07,7105444.33,3580946.07+7105444.33i
88.3333333333333,3580943.2,7105456.75,3580943.2+7105456.75i
88.5,3580980.84,7105632.53,3580980.84+7105632.53i
88.6666666666667,3581230.25,7105288.1,3581230.25+7105288.1i
88.8333333333333,3582055.02,7104832.38,3582055.02+7104832.38i
89,3581450.47,7105255.61,3581450.47+7105255.61i
89.1666666666667,3581120.38,7105459.06,3581120.38+7105459.06i
89.3333333333333,3580448.33,7105445.43,3580448.33+7105445.43i
89.5,3580456.07,7105164.61,3580456.07+7105164.61i
89.6666666666667,3580833.93,7105430.5,3580833.93+7105430.5i
89.8333333333333,3580711.07,7105442.7,3580711.07+7105442.7i
90,3580739.38,7105462.94,3580739.38+7105462.94i
90.1666666666667,3580791.92,7105434.04,3580791.92+7105434.04i
90.3333333333333,3580787.37,7105437.13,3580787.37+7105437.13i
90.5,3580861.55,7105502.91,3580861.55+7105502.91i
90.6666666666667,3580947.23,7105420.35,3580947.23+7105420.35i
94.3333333333333,3581596.8,7106342.35,3581596.8+7106342.35i
94.5,3581617.99,7106344.01,3581617.99+7106344.01i
94.6666666666667,3581495.16,7106427.72,3581495.16+7106427.72i
94.8333333333333,3581222.96,7105914.67,3581222.96+7105914.67i
95,3581096.25,7105725.17,3581096.25+7105725.17i
95.1666666666667,3581075.51,7105307.42,3581075.51+7105307.42i
95.3333333333333,3581032.31,7105320.62,3581032.31+7105320.62i
95.5,3580714.1,7105379.6,3580714.1+7105379.6i
95.6666666666667,3581263.2,7104730.1,3581263.2+7104730.1i
95.8333333333333,3580856.52,7105579.22,3580856.52+7105579.22i
96,3580846.48,7105575.15,3580846.48+7105575.15i
96.1666666666667,3581151.71,7105328.5,3581151.71+7105328.5i
96.3333333333333,3580870.23,7105150.42,3580870.23+7105150.42i
96.5,3580618.89,7105419.44,3580618.89+7105419.44i
96.6666666666667,3580164.95,7106110.21,3580164.95+7106110.21i
96.8333333333333,3579842.29,7106493.78,3579842.29+7106493.78i
97,3579832.28,7106519.88,3579832.28+7106519.88i
97.1666666666667,3580043.35,7106400.98,3580043.35+7106400.98i
97.3333333333333,3580065.26,7106083.9,3580065.26+7106083.9i
97.5,3579441.84,7106202.1,3579441.84+7106202.1i
97.6666666666667,3580030.14,7106276.15,3580030.14+7106276.15i
99,3579696.06,7106157.32,3579696.06+7106157.32i
99.1666666666667,3579217.83,7106154.4,3579217.83+7106154.4i
99.3333333333333,3579300.19,7106243.87,3579300.19+7106243.87i
99.5,3579246.6,7105973.14,3579246.6+7105973.14i
99.6666666666667,3579764.98,7106497.6,3579764.98+7106497.6i
99.8333333333333,3580313.42,7107406.37,3580313.42+7107406.37i
100,3580311.77,7107402.04,3580311.77+7107402.04i
101.333333333333,3583259.65,7111371.53,3583259.65+7111371.53i
101.5,3583646.44,7111366.44,3583646.44+7111366.44i
101.666666666667,3583752.53,7111455.28,3583752.53+7111455.28i
101.833333333333,3583550.94,7111515.21,3583550.94+7111515.21i
102,3583555.69,7111506.45,3583555.69+7111506.45i
102.166666666667,3583520.46,7111580.93,3583520.46+7111580.93i
102.333333333333,3587408.88,7114559.75,3587408.88+7114559.75i
102.5,3587049.45,7116356.83,3587049.45+7116356.83i
102.666666666667,3586464.71,7117157.61,3586464.71+7117157.61i
102.833333333333,3586715.14,7117351.11,3586715.14+7117351.11i
103,3586685.94,7117325.08,3586685.94+7117325.08i
103.166666666667,3586712.56,7117626.84,3586712.56+7117626.84i
103.333333333333,3585742.25,7112572.03,3585742.25+7112572.03i
103.5,3584025.9,7109501.48,3584025.9+7109501.48i
103.666666666667,3582516.92,7107452.7,3582516.92+7107452.7i
103.833333333333,3582417.04,7107430.5,3582417.04+7107430.5i
104,3582421.16,7107462.99,3582421.16+7107462.99i
104.166666666667,3580999.93,7105951.19,3580999.93+7105951.19i
104.333333333333,3581130.06,7106289.08,3581130.06+7106289.08i
104.5,3580875.7,7105331.84,3580875.7+7105331.84i
104.666666666667,3581210.97,7104853.95,3581210.97+7104853.95i
109.5,3584967.3,7101441.4,3584967.3+7101441.4i
109.666666666667,3584936.79,7101360.64,3584936.79+7101360.64i
109.833333333333,3584996.31,7101683.7,3584996.31+7101683.7i
110,3584984.1,7101588.88,3584984.1+7101588.88i
110.166666666667,3584983.24,7101518.91,3584983.24+7101518.91i
110.333333333333,3585208.32,7101398.36,3585208.32+7101398.36i
110.5,3585757.29,7102054.7,3585757.29+7102054.7i
110.666666666667,3585303.13,7102037.26,3585303.13+7102037.26i
110.833333333333,3585280.04,7101413.25,3585280.04+7101413.25i
111,3585917.55,7101390.56,3585917.55+7101390.56i
111.166666666667,3585826.16,7101370.82,3585826.16+7101370.82i
111.333333333333,3585576.09,7101200.26,3585576.09+7101200.26i
111.5,3585653.58,7101331.44,3585653.58+7101331.44i
111.666666666667,3585847.71,7101734.9,3585847.71+7101734.9i
111.833333333333,3586109.84,7100577.6,3586109.84+7100577.6i
112,3585799.57,7100989.14,3585799.57+7100989.14i
112.166666666667,3584729.68,7100905.93,3584729.68+7100905.93i
112.333333333333,3585000.7,7100916.43,3585000.7+7100916.43i
112.5,3585660.37,7101214.16,3585660.37+7101214.16i
112.666666666667,3586036.12,7100685.57,3586036.12+7100685.57i
112.833333333333,3586409.64,7101372.36,3586409.64+7101372.36i
113,3586396,7101394.38,3586396+7101394.38i
113.166666666667,3586615.56,7101324.62,3586615.56+7101324.62i
113.333333333333,3589730.47,7102781.35,3589730.47+7102781.35i
113.5,3595216.94,7107369.95,3595216.94+7107369.95i
113.666666666667,3598019.15,7109399.72,3598019.15+7109399.72i
113.833333333333,3603200.31,7112422.77,3603200.31+7112422.77i
114,3603329.48,7112335.15,3603329.48+7112335.15i
115.333333333333,3626439.54,7111457.9,3626439.54+7111457.9i
115.5,3627196.81,7111038.36,3627196.81+7111038.36i
115.666666666667,3629182.29,7110566.91,3629182.29+7110566.91i
115.833333333333,3633281.71,7109186.93,3633281.71+7109186.93i
116,3633650.22,7109049.49,3633650.22+7109049.49i
116.166666666667,3634954.57,7109299.27,3634954.57+7109299.27i
116.333333333333,3638898.71,7107024.17,3638898.71+7107024.17i
116.5,3640235.65,7106584.83,3640235.65+7106584.83i
116.666666666667,3640342.8,7106072.33,3640342.8+7106072.33i
116.833333333333,3641840.37,7105933.61,3641840.37+7105933.61i
117,3641793.26,7105791.55,3641793.26+7105791.55i
117.166666666667,3644338.15,7106946.89,3644338.15+7106946.89i
117.333333333333,3644358.6,7107362.86,3644358.6+7107362.86i
117.5,3644839.14,7107676.46,3644839.14+7107676.46i
117.666666666667,3645249.7,7107523.05,3645249.7+7107523.05i
117.833333333333,3645058.05,7106510.64,3645058.05+7106510.64i
118,3645051.77,7106972.55,3645051.77+7106972.55i
118.166666666667,3645107.88,7107188.33,3645107.88+7107188.33i
118.333333333333,3645193.28,7107627.21,3645193.28+7107627.21i
118.5,3645053.78,7106474.3,3645053.78+7106474.3i
118.666666666667,3645861.08,7106628.54,3645861.08+7106628.54i
125.833333333333,3650147.65,7137733.78,3650147.65+7137733.78i
126,3650152.11,7137745.28,3650152.11+7137745.28i
126.166666666667,3650113.42,7137729.32,3650113.42+7137729.32i
126.333333333333,3653283.86,7137333.11,3653283.86+7137333.11i
126.5,3650035.52,7137240.29,3650035.52+7137240.29i
126.666666666667,3648682.02,7137367.23,3648682.02+7137367.23i
126.833333333333,3649269.24,7137231.19,3649269.24+7137231.19i
127,3649205.91,7137545.09,3649205.91+7137545.09i
127.166666666667,3648707.19,7137990.61,3648707.19+7137990.61i
127.333333333333,3647757.22,7142791.24,3647757.22+7142791.24i
127.5,3647811.01,7143273.36,3647811.01+7143273.36i
127.666666666667,3647862.41,7143296.06,3647862.41+7143296.06i
127.833333333333,3647560.24,7142557.76,3647560.24+7142557.76i
128,3647602.36,7143348.23,3647602.36+7143348.23i
130.5,3642006.59,7152304.02,3642006.59+7152304.02i
130.666666666667,3642506.49,7151991.89,3642506.49+7151991.89i
130.833333333333,3641892.63,7152127.99,3641892.63+7152127.99i
131,3641938.83,7152079.04,3641938.83+7152079.04i
131.166666666667,3640655.04,7154762.13,3640655.04+7154762.13i
131.333333333333,3640615.88,7156029.05,3640615.88+7156029.05i
131.5,3638635.45,7156882.84,3638635.45+7156882.84i
131.666666666667,3638694.64,7156832.13,3638694.64+7156832.13i
131.833333333333,3638920.74,7156559.87,3638920.74+7156559.87i
132,3638630.19,7156800.6,3638630.19+7156800.6i
132.166666666667,3638947.98,7156421.2,3638947.98+7156421.2i
132.333333333333,3638960.25,7156445.16,3638960.25+7156445.16i
132.5,3638652.78,7156841.3,3638652.78+7156841.3i
132.666666666667,3638944.76,7156415.52,3638944.76+7156415.52i
132.833333333333,3639723.17,7156350.65,3639723.17+7156350.65i
133,3639792.74,7156372.94,3639792.74+7156372.94i
133.166666666667,3638654.93,7156842.63,3638654.93+7156842.63i
133.333333333333,3638498.82,7156843.73,3638498.82+7156843.73i
133.5,3638196.94,7157062.06,3638196.94+7157062.06i
133.666666666667,3637811.16,7158624.15,3637811.16+7158624.15i
133.833333333333,3637949.61,7157620,3637949.61+7157620i
135.166666666667,3636132.51,7158711.76,3636132.51+7158711.76i
135.333333333333,3635626.93,7160188.6,3635626.93+7160188.6i
135.5,3635951.73,7158734.49,3635951.73+7158734.49i
135.666666666667,3637595.69,7157477.13,3637595.69+7157477.13i
135.833333333333,3638388.5,7157059.39,3638388.5+7157059.39i
136,3638068.08,7156701.76,3638068.08+7156701.76i
136.166666666667,3638423.36,7155656.7,3638423.36+7155656.7i
137.5,3639849.66,7156311.59,3639849.66+7156311.59i
137.666666666667,3639861.92,7156257.89,3639861.92+7156257.89i
137.833333333333,3639738.6,7156458.85,3639738.6+7156458.85i
138,3639735.78,7156102.21,3639735.78+7156102.21i
138.166666666667,3639884.53,7156242.74,3639884.53+7156242.74i
138.333333333333,3639742.93,7156057.76,3639742.93+7156057.76i
138.5,3639829.97,7156247.21,3639829.97+7156247.21i
138.666666666667,3638561.07,7156848.55,3638561.07+7156848.55i
138.833333333333,3638456.79,7156816.08,3638456.79+7156816.08i
139,3638053.72,7157415.08,3638053.72+7157415.08i
139.166666666667,3637094.19,7157235.02,3637094.19+7157235.02i
139.333333333333,3636130.51,7157111.37,3636130.51+7157111.37i
139.5,3636185.22,7157077.96,3636185.22+7157077.96i
139.666666666667,3637958.98,7157432.12,3637958.98+7157432.12i
139.833333333333,3637912.23,7157599.96,3637912.23+7157599.96i
140,3637735.88,7157542.97,3637735.88+7157542.97i
140.166666666667,3636874.16,7157435.92,3636874.16+7157435.92i
140.333333333333,3638709.84,7155077.71,3638709.84+7155077.71i
140.5,3643878.4,7145883.99,3643878.4+7145883.99i
140.666666666667,3643872.89,7145847.2,3643872.89+7145847.2i
140.833333333333,3643868.18,7145841.67,3643868.18+7145841.67i
142.166666666667,3643908.49,7145805.17,3643908.49+7145805.17i
142.333333333333,3643926.2,7145817.94,3643926.2+7145817.94i
142.5,3643983.11,7145837.17,3643983.11+7145837.17i
142.666666666667,3643980.56,7145827.59,3643980.56+7145827.59i
142.833333333333,3643939.88,7145812.23,3643939.88+7145812.23i
143,3643931.71,7145802.16,3643931.71+7145802.16i
143.166666666667,3643957.29,7145839.33,3643957.29+7145839.33i
145.666666666667,3644099.44,7146053.73,3644099.44+7146053.73i
145.833333333333,3644078.02,7146037.41,3644078.02+7146037.41i
146,3644052.58,7146013.73,3644052.58+7146013.73i
146.166666666667,3644059.7,7145991.95,3644059.7+7145991.95i
146.333333333333,3644122.12,7145970.69,3644122.12+7145970.69i
146.5,3644160.84,7145956.62,3644160.84+7145956.62i
146.666666666667,3644148.17,7145933.83,3644148.17+7145933.83i
149.166666666667,3646978.19,7149869.08,3646978.19+7149869.08i
149.333333333333,3646634.66,7154669.78,3646634.66+7154669.78i
149.5,3643199.49,7158187.39,3643199.49+7158187.39i
149.666666666667,3641414.97,7158577.32,3641414.97+7158577.32i
149.833333333333,3641648.74,7158630.06,3641648.74+7158630.06i
150,3642120.73,7158839.51,3642120.73+7158839.51i
150.166666666667,3639996.24,7162080.37,3639996.24+7162080.37i
150.333333333333,3638740.26,7163707.97,3638740.26+7163707.97i
150.5,3637972.08,7163407.83,3637972.08+7163407.83i
150.666666666667,3637932.81,7163431.45,3637932.81+7163431.45i
150.833333333333,3637866.45,7162950.37,3637866.45+7162950.37i
151,3638002,7162627.53,3638002+7162627.53i
151.166666666667,3638118.7,7163319.33,3638118.7+7163319.33i
151.333333333333,3637953.15,7163385.91,3637953.15+7163385.91i
151.5,3637615.9,7163334.06,3637615.9+7163334.06i
151.666666666667,3636827.51,7165448.07,3636827.51+7165448.07i
151.833333333333,3636772.76,7165613.46,3636772.76+7165613.46i
152,3636623.92,7164930.48,3636623.92+7164930.48i
152.166666666667,3636553.99,7165082.8,3636553.99+7165082.8i
152.333333333333,3637142.21,7164921.95,3637142.21+7164921.95i
152.5,3637150.14,7164936.8,3637150.14+7164936.8i
152.666666666667,3637862.31,7166544.88,3637862.31+7166544.88i
152.833333333333,3637713.45,7166604.64,3637713.45+7166604.64i
153,3638831.58,7165562.61,3638831.58+7165562.61i
153.166666666667,3639357.12,7165433.1,3639357.12+7165433.1i
153.333333333333,3639169.39,7165515.29,3639169.39+7165515.29i
153.5,3638997.89,7165713.99,3638997.89+7165713.99i
153.666666666667,3638789.48,7165743.4,3638789.48+7165743.4i
153.833333333333,3639182.63,7165872.13,3639182.63+7165872.13i
154,3639611.26,7166044.87,3639611.26+7166044.87i
154.166666666667,3639877.76,7165588.87,3639877.76+7165588.87i
154.333333333333,3640225.18,7165425.79,3640225.18+7165425.79i
154.5,3640331.8,7165017.15,3640331.8+7165017.15i
154.666666666667,3640216.46,7165369.34,3640216.46+7165369.34i
