TAG,DATETIME,X,Y,D,LAT,LON,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX
T28, 2010-05-02 21:45:34, 4963.38, 5227.48,  5.000,   45.495348,  -84.073877,   5.1,        ,        ,        ,        , R08 R14 R24 R29
T28, 2010-05-02 21:46:19, 4971.52, 5230.96,  5.055,   45.495379,  -84.073772,   2.6,        ,        ,  5.0552,        , R07 R08 R13 R14 R15 R16 R17 R25 R26 R27 R28 R29 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:48:23, 4971.69, 5230.72,  5.000,   45.495377,  -84.073770,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:50:00, 4971.36, 5230.94,  5.000,   45.495379,  -84.073774,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:50:47, 4971.05, 5231.28,  5.055,   45.495382,  -84.073778,   2.6,        ,        ,  5.0552,        , R06 R07 R08 R13 R14 R16 R17 R18 R19 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:51:32, 4971.49, 5231.00,  5.000,   45.495379,  -84.073773,   2.6,        ,        ,        ,        , R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:52:12, 4972.09, 5229.09,  5.055,   45.495362,  -84.073765,   5.0,        ,        ,  5.0552,        , R05 R06 R07 R08 R09 R12 R14 R16 R17 R25 R26 R28 R34 R35 R38 R39
T28, 2010-05-02 21:52:44, 4983.16, 5221.66,  5.000,   45.495295,  -84.073623,   8.3,        ,        ,        ,        , R13 R15 R29 R30 R33 R39
T28, 2010-05-02 21:53:29, 4971.32, 5231.00,  5.055,   45.495379,  -84.073775,   2.6,        ,        ,  5.0552,        , R04 R05 R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:54:09, 4969.37, 5233.41,  5.000,   45.495401,  -84.073800,   3.4,        ,        ,        ,        , R07 R08 R14 R15 R16 R25 R26 R28 R29 R32 R33 R34 R35 R37
T28, 2010-05-02 21:54:42, 4969.64, 5231.34,  5.055,   45.495382,  -84.073796,   3.2,        ,        ,  5.0552,        , R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R24 R25 R26 R28 R29 R32 R34 R35
T28, 2010-05-02 21:55:27, 4971.41, 5230.69,  5.000,   45.495377,  -84.073774,   2.6,        ,        ,        ,        , R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:56:08, 4971.25, 5231.11,  5.055,   45.495380,  -84.073776,   2.6,        ,        ,  5.0552,        , R07 R08 R13 R14 R15 R16 R17 R18 R19 R21 R24 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:57:29, 4971.41, 5230.87,  5.055,   45.495378,  -84.073774,   2.6,        ,        ,  5.0552,        , R04 R07 R08 R13 R14 R16 R17 R18 R19 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:58:15, 4971.35, 5230.94,  5.000,   45.495379,  -84.073775,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R20 R21 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:59:57, 4971.32, 5231.10,  5.055,   45.495380,  -84.073775,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37
T28, 2010-05-02 22:00:25, 4971.18, 5230.95,  5.000,   45.495379,  -84.073777,   2.6,        ,        ,        ,        , R04 R06 R07 R13 R14 R15 R17 R18 R19 R20 R25 R26 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:01:01, 4972.21, 5230.63,  5.055,   45.495376,  -84.073763,   2.6,        ,        ,  5.0552,        , R04 R07 R08 R12 R13 R14 R15 R16 R17 R19 R20 R24 R26 R27 R28 R29 R30 R32 R33 R34 R37 R38 R39
T28, 2010-05-02 22:01:24, 4972.25, 5230.68,  5.000,   45.495377,  -84.073763,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R24 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:02:28, 4972.08, 5230.40,  5.000,   45.495374,  -84.073765,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:02:51, 4968.58, 5230.88,  5.055,   45.495378,  -84.073810,   4.6,        ,        ,  5.0552,        , R08 R12 R13 R14 R15 R28 R29 R30 R32 R39
T28, 2010-05-02 22:03:18, 4972.13, 5230.75,  5.000,   45.495377,  -84.073765,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R10 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:04:30, 4972.35, 5230.71,  5.055,   45.495377,  -84.073762,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R10 R13 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R33 R34 R35
T28, 2010-05-02 22:04:50, 4971.35, 5233.67,  5.000,   45.495403,  -84.073774,   4.8,        ,        ,        ,        , R06 R07 R08 R13 R14 R15 R16 R17 R27 R28 R29 R30 R32
T28, 2010-05-02 22:05:30, 4972.33, 5230.68,  5.000,   45.495377,  -84.073762,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 22:06:15, 4972.45, 5230.42,  5.000,   45.495374,  -84.073760,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R19 R20 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 22:06:43, 4970.78, 5230.07,  5.055,   45.495371,  -84.073782,   2.8,        ,        ,  5.0552,        , R04 R06 R07 R08 R13 R14 R15 R16 R18 R20 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:07:20, 4988.71, 5238.03,  5.000,   45.495443,  -84.073552, 338.9,        ,        ,        ,        , R08 R12 R13 R15 R16
T28, 2010-05-02 22:08:17, 4972.65, 5230.27,  5.000,   45.495373,  -84.073758,   2.6,        ,        ,        ,        , R06 R07 R08 R13 R14 R15 R16 R17 R18 R25 R26 R27 R28 R29 R30 R32 R33 R34 R37 R38 R39
T28, 2010-05-02 22:09:01, 4973.04, 5232.08,  5.055,   45.495389,  -84.073753,   2.8,        ,        ,  5.0552,        , R04 R06 R07 R08 R09 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R28 R29 R33 R34 R35
T28, 2010-05-02 22:09:40, 4972.74, 5230.46,  5.000,   45.495375,  -84.073757,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:10:10, 4972.45, 5230.53,  5.055,   45.495375,  -84.073760,   2.6,        ,        ,  5.0552,        , R06 R07 R08 R12 R13 R14 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:10:49, 4972.66, 5230.51,  5.000,   45.495375,  -84.073758,   2.6,        ,        ,        ,        , R05 R06 R07 R08 R12 R13 R14 R16 R17 R18 R20 R24 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:11:58, 4972.50, 5230.48,  5.000,   45.495375,  -84.073760,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:12:28, 4968.09, 5231.22,  5.055,   45.495381,  -84.073816,   5.0,        ,        ,  5.0552,        , R04 R06 R07 R08 R10 R12 R15 R16 R17 R18 R19 R20 R22 R25 R26 R27 R34 R35
T28, 2010-05-02 22:14:31, 4967.92, 5232.32,  5.000,   45.495391,  -84.073818,   7.0,        ,        ,        ,        , R12 R13 R20 R25 R34 R35
T28, 2010-05-02 22:15:19, 4973.76, 5231.66,  5.055,   45.495385,  -84.073744,   2.7,        ,        ,  5.0552,        , R04 R06 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:16:04, 4970.81, 5232.05,  5.000,   45.495389,  -84.073781,   4.0,        ,        ,        ,        , R07 R08 R14 R15 R16 R17 R19 R27 R30 R32 R33 R39
T28, 2010-05-02 22:16:46, 4966.25, 5232.45,  5.055,   45.495392,  -84.073840,   3.3,        ,        ,  5.0552,        , R08 R13 R14 R16 R25 R29 R30 R32
T28, 2010-05-02 22:17:20, 4972.51, 5230.70,  5.000,   45.495377,  -84.073760,   2.6,        ,        ,        ,        , R04 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 22:17:40, 4967.31, 5233.59,  5.055,   45.495403,  -84.073826,   3.1,        ,        ,  5.0552,        , R06 R16 R18 R19 R32 R33
T28, 2010-05-02 22:18:00, 4965.05, 5233.40,  5.000,   45.495401,  -84.073855,   4.4,        ,        ,        ,        , R08 R12 R13 R14 R15 R16 R28 R29 R30 R32 R33 R39
T28, 2010-05-02 22:19:15, 4965.83, 5231.62,  5.055,   45.495385,  -84.073845,   4.4,        ,        ,  5.0552,        , R08 R09 R12 R13 R14 R15 R16 R17 R28 R38
T28, 2010-05-02 22:19:54, 4972.18, 5230.55,  5.000,   45.495375,  -84.073764,   2.6,        ,        ,        ,        , R04 R06 R07 R08 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 22:21:01, 4972.15, 5230.51,  5.000,   45.495375,  -84.073764,   2.6,        ,        ,        ,        , R06 R07 R08 R13 R14 R15 R16 R17 R18 R20 R25 R26 R27 R28 R29 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 22:22:07, 4969.80, 5231.34,  5.000,   45.495382,  -84.073794,   5.3,        ,        ,        ,        , R06 R07 R14 R15 R16 R17 R18 R19 R20 R25 R26 R34
T28, 2010-05-02 22:22:33, 4972.46, 5230.33,  5.055,   45.495373,  -84.073760,   2.6,        ,        ,  5.0552,        , R06 R07 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
